,LIWC_64_category@partnerDiff,LIWC_64_category@otherDiff
2001,15.9528770313,20.2950374219
2052,9.49498696,15.2993632922
2101,10.0703047593,13.2300620787
2152,13.6062832563,16.1327107864
2201,14.4814447403,14.8012203481
2252,18.2941997548,19.2241064035
2301,15.770308128,18.7289687619
2352,11.1284353252,14.0657313945
2401,10.5670905653,14.8955926148
2452,20.877227236,18.9588970426
2501,12.7605126655,14.3522647429
2552,17.2002221347,19.0984825129
2601,10.8151332513,14.5656436479
2652,12.1026401773,13.9507069664
2701,15.708966868,14.768784739
2752,10.5671849907,14.0656283033
2801,20.597267492,17.0751136012
2852,19.301820418,17.0070226974
2901,6.54766213133,14.2705712997
2952,11.0845938927,15.674921773
3001,13.7963418313,14.7068338123
3052,16.3160198027,15.205901632
3101,17.3867960072,15.5651895983
3201,14.69661596,16.3477140468
3252,14.138116998,15.2234457325
3301,13.010979758,17.0539239614
3401,18.485916972,17.2559195774
3452,16.0790500262,15.4253620639
3501,25.1188595647,17.9637503938
3552,14.2295378378,14.7636132023
3601,14.0673995093,15.0572840118
4001,18.337269443,16.6999840072
4052,17.5178589927,15.660614848
4101,16.0850733725,15.721835439
4152,9.91545805733,15.0101263444
4201,10.2219407213,15.3425111084
4252,12.2875576818,14.1387972913
4352,11.206295012,13.5420481962
4401,13.990552996,14.5430683099
4452,10.7419794055,14.2540455231
4501,14.3377007105,16.3705246035
4552,13.7301932627,15.9994382966
4601,20.4400962513,18.0659772551
4652,13.6925770528,14.969482397
4701,17.2734906807,15.2933251683
4752,14.7499998457,15.5247211578
4801,13.2234454813,14.0590085812
4852,13.6963251873,15.6168528383
4901,14.3945689367,15.321380847
4952,16.9271157745,15.8554901997
5001,21.039769478,23.2549962081
5052,17.2404758152,17.1657939173
5101,11.2623889773,15.2049791249
5152,14.2804932558,14.4533311646
5201,12.5909308377,13.9888767679
5252,15.0457020847,15.2387986568
5301,10.8830596233,13.6865862191
5352,22.636969766,19.6535379281
5401,15.247983672,15.4940546247
5452,13.6496060627,14.6571269426
5501,12.8257207907,14.691271196
5552,14.8352088573,19.6331231583
