,LIWC_Top25Words_corpus_Highest_funct
2001,0.0379753377649
2052,0.0155126147233
2101,0.019589585926
2152,0.00650221316771
2201,0.0170190868021
2252,-0.0313169976095
2301,-0.0283027343283
2352,0.0221906798608
2401,0.0162874776209
2452,-0.0270239488637
2501,-0.00498879244738
2552,-0.0265608826879
2601,-0.00264285737374
2652,0.0115870002045
2701,0.00198523583327
2752,0.0434876549525
2801,0.00907771979167
2852,-0.00332727170245
2901,0.0594121051922
2952,0.00424642819353
3001,-0.0165860991636
3052,0.0273181917806
3101,-0.00229462149131
3201,0.0222743401757
3252,0.012748079982
3301,0.0530403811838
3401,-0.0391690642583
3452,0.0151537060694
3501,-0.00303065557341
3552,0.0261156440046
3601,-0.00137699774029
4001,-0.00760951801564
4052,0.0239438235421
4101,0.00786703252155
4152,0.0117413775172
4201,0.0290613040978
4252,0.0191884392186
4352,0.0243766106597
4401,0.0124740012025
4452,0.0370431159416
4501,0.0052579068213
4552,0.0250270510425
4601,-0.0236477782146
4652,0.029569878759
4701,-0.00859735214605
4752,0.00504832619918
4801,0.0321322565555
4852,0.00825919530671
4901,-0.00827976529428
4952,0.00916506259774
5001,-0.00814637405009
5052,0.0193912182342
5101,-0.0287476214258
5152,0.0290033173605
5201,0.0133351722706
5252,-0.0234775963245
5301,0.00490996975158
5352,-0.0079194554929
5401,-0.0117624057837
5452,0.0251041287162
5501,0.0109374555718
5552,0.0569737890502
